SA1_MAINCODE_2016,CED_CODE_2016,CED_NAME_2016,AREA_ALBERS_SQKM
11904137934,101,Banks,0.0334
11904137911,101,Banks,0.2047
11901135802,101,Banks,0.0722
11901135924,101,Banks,0.1736
11901135829,101,Banks,0.1285
11903136941,101,Banks,0.2068
11903136925,101,Banks,0.078
11903137105,101,Banks,0.1811
11901136003,101,Banks,0.1248
11903137115,101,Banks,0.1387
11903137309,101,Banks,0.0428
11903137212,101,Banks,0.0866
11903136936,101,Banks,0.1301
11903137007,101,Banks,0.043
11903137235,101,Banks,0.0914
11901135821,101,Banks,0.1371
11901135836,101,Banks,0.1469
11903137421,101,Banks,0.1674
11903137441,101,Banks,0.1184
11901135806,101,Banks,0.5865
11904137910,101,Banks,0.0998
11903137420,101,Banks,0.0663
11901135934,101,Banks,0.1686
11901136033,101,Banks,0.1856
11904137935,101,Banks,0.0345
11903137102,101,Banks,0.1616
11903137106,101,Banks,0.1526
11903137218,101,Banks,0.1892
11904137913,101,Banks,0.03
11904137901,101,Banks,0.0743
11903136942,101,Banks,0.2089
11901136009,101,Banks,0.1392
11901136032,101,Banks,0.1374
11903137315,101,Banks,0.1252
11901135801,101,Banks,0.1146
11903137128,101,Banks,0.2636
11903137123,101,Banks,0.1004
11903137004,101,Banks,0.0884
11903137317,101,Banks,0.1295
11903136909,101,Banks,0.0854
11901135930,101,Banks,0.1276
11903136915,101,Banks,0.1208
11901136016,101,Banks,0.238
11903137015,101,Banks,0.0932
11901135816,101,Banks,0.196
11903136949,101,Banks,0.0669
11903137416,101,Banks,0.1374
11903137418,101,Banks,0.1381
11903137126,101,Banks,0.0584
11901136004,101,Banks,0.1244
11901135820,101,Banks,0.1817
11901135831,101,Banks,0.1924
11903136945,101,Banks,0.1681
11903136931,101,Banks,0.1028
11903137445,101,Banks,0.1627
11903137131,101,Banks,0.084
11904137918,101,Banks,0.135
11901135822,101,Banks,0.088
11901135901,101,Banks,0.1415
11903136929,101,Banks,0.0761
11903137130,101,Banks,0.0932
11903137318,101,Banks,0.1387
11903137450,101,Banks,0.055
11901135805,101,Banks,0.108
11903137222,101,Banks,0.2896
11903137117,101,Banks,0.0698
11904137919,101,Banks,0.0535
11901136030,101,Banks,0.1079
11901136027,101,Banks,0.1358
11903137409,101,Banks,0.0696
11903137002,101,Banks,0.1097
11901136007,101,Banks,0.1092
11901135929,101,Banks,0.1054
11903137417,101,Banks,0.1744
11903137404,101,Banks,0.0187
11901135949,101,Banks,0.2012
11903137215,101,Banks,0.0713
11903137406,101,Banks,0.0884
11901135810,101,Banks,0.1577
11901135958,101,Banks,0.1319
11903137236,101,Banks,0.1503
11901135919,101,Banks,0.1282
11903137312,101,Banks,0.0441
11901135952,101,Banks,0.8388
11901135928,101,Banks,0.2421
11903137003,101,Banks,0.0692
11903137110,101,Banks,0.254
11901136034,101,Banks,0.1615
11901135954,101,Banks,0.1586
11903136926,101,Banks,0.0497
11901136005,101,Banks,0.1095
11903137325,101,Banks,0.0866
11903137205,101,Banks,0.1337
11903137125,101,Banks,0.1424
11903137121,101,Banks,0.1253
11901135959,101,Banks,0.1692
11903137022,101,Banks,0.0803
11903137207,101,Banks,0.2116
11903137412,101,Banks,0.1101
11903137210,101,Banks,0.1144
11901135819,101,Banks,0.1028
11901135832,101,Banks,0.1227
11904137908,101,Banks,0.1133
11901136035,101,Banks,0.1345
11901135808,101,Banks,0.1662
11903137005,101,Banks,0.0908
11903137202,101,Banks,0.2254
11901135950,101,Banks,0.1128
11903137111,101,Banks,0.0998
11903136947,101,Banks,0.4374
11904137916,101,Banks,0.0515
11903137014,101,Banks,0.1496
11901135824,101,Banks,0.0749
11901135953,101,Banks,0.1405
11901135812,101,Banks,0.0858
11901135916,101,Banks,0.108
11901135838,101,Banks,0.1362
11901135817,101,Banks,0.2828
11903137103,101,Banks,0.1056
11903137245,101,Banks,0.1526
11903137244,101,Banks,0.1571
11903137012,101,Banks,0.0817
11901135828,101,Banks,0.1293
11903137407,101,Banks,0.0751
11901136019,101,Banks,0.2011
11903137226,101,Banks,0.1329
11903136922,101,Banks,0.1036
11901135830,101,Banks,0.1146
11903136920,101,Banks,0.0319
11901136008,101,Banks,0.1333
11901135807,101,Banks,0.0845
11901135826,101,Banks,0.3294
11904137904,101,Banks,0.0454
11903136937,101,Banks,0.1322
11903137230,101,Banks,0.2509
11904137906,101,Banks,0.0577
11903137127,101,Banks,0.1402
11901136023,101,Banks,0.0971
11901135937,101,Banks,0.134
11903137419,101,Banks,0.0958
11903136912,101,Banks,0.1374
11901135907,101,Banks,0.1609
11903136948,101,Banks,0.1349
11901135951,101,Banks,0.0695
11903137206,101,Banks,0.2252
11903137223,101,Banks,0.128
11901135936,101,Banks,0.2725
11903137403,101,Banks,0.0263
11903136924,101,Banks,0.0549
11903137108,101,Banks,0.2412
11903137233,101,Banks,0.1067
11903137402,101,Banks,0.0353
11903137116,101,Banks,0.103
11903137030,101,Banks,0.0787
11903136906,101,Banks,0.0427
11903136934,101,Banks,0.1016
11904137920,101,Banks,0.0452
11901135811,101,Banks,0.1085
11903137410,101,Banks,0.0236
11901136025,101,Banks,0.076
11901135960,101,Banks,0.2338
11901135842,101,Banks,0.1542
11901135834,101,Banks,0.0989
11901135933,101,Banks,0.1323
11901135825,101,Banks,0.0386
11903137224,101,Banks,0.1294
11901135909,101,Banks,0.1474
11903137220,101,Banks,0.1122
